item,itemLabel,position,positionLabel,startDate,endDate,source,psid
Q112691270,Джуссоев Константин Хасанович,Q2332585,Председатель Правительства,2022-06-20,,https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B0%D0%B2%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE_%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B8_%D0%AE%D0%B6%D0%BD%D0%B0%D1%8F_%D0%9E%D1%81%D0%B5%D1%82%D0%B8%D1%8F,Q112691270-A6F76429-0763-43FC-B5F5-D69BE66E880C
Q114351204,Джиоев Ахсар Муратович,Q19901425,Министр иностранных дел,2022-08-15,,https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B0%D0%B2%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE_%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B8_%D0%AE%D0%B6%D0%BD%D0%B0%D1%8F_%D0%9E%D1%81%D0%B5%D1%82%D0%B8%D1%8F,Q114351204-8ed43761-4cef-915f-b4dd-6e48ac1c219c
Q114351301,Тадтаев Дзамболат Мервадикович,Q114351268,Заместитель Председателя Правительства — Министр экономического развития,2022-06-21,,https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B0%D0%B2%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE_%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B8_%D0%AE%D0%B6%D0%BD%D0%B0%D1%8F_%D0%9E%D1%81%D0%B5%D1%82%D0%B8%D1%8F,Q114351301-693E695E-65D1-4C2F-95BF-0E01C2197CC4
Q114351306,Гаглоев Олег Феликсович,Q114351269,Министр юстиции,2022-06-09,,https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B0%D0%B2%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE_%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B8_%D0%AE%D0%B6%D0%BD%D0%B0%D1%8F_%D0%9E%D1%81%D0%B5%D1%82%D0%B8%D1%8F,Q114351306-8229C72A-5B9E-4A5A-A0EE-564BBE384EA2
Q114351315,Газзаев Валерий Таймуразович,Q114351271,Министр внутренних дел,2022-06-09,,https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B0%D0%B2%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE_%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B8_%D0%AE%D0%B6%D0%BD%D0%B0%D1%8F_%D0%9E%D1%81%D0%B5%D1%82%D0%B8%D1%8F,Q114351315-2ED4BC50-4D68-415C-A82B-4E1720D36E9B
Q114351328,Джиоева Аряна Константиновна,Q114351272,Министр образования и науки,2022-09-07,,https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B0%D0%B2%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE_%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B8_%D0%AE%D0%B6%D0%BD%D0%B0%D1%8F_%D0%9E%D1%81%D0%B5%D1%82%D0%B8%D1%8F,Q114351328-69040A61-951D-4389-A230-8EBD5B68E119
Q114351337,Дзагоев Эдуард Николаевич,Q114351273,"Министр строительства, архитектуры и жилищно-коммунального хозяйства",2022-06-23,,https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B0%D0%B2%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE_%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B8_%D0%AE%D0%B6%D0%BD%D0%B0%D1%8F_%D0%9E%D1%81%D0%B5%D1%82%D0%B8%D1%8F,Q114351337-FB91BFDD-FBD3-41D2-907F-30C75EF98DD5
Q114351341,Дзагоева Радмила Филиповна,Q114351276,Министр культуры,2022-06-21,,,Q114351341-2ED70B6F-6EA5-4315-A1B0-15B05D09F687
Q114351351,Маргиев Алан Таймуразович,Q114351277,Министр сельского хозяйства,2022-06-28,,https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B0%D0%B2%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE_%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B8_%D0%AE%D0%B6%D0%BD%D0%B0%D1%8F_%D0%9E%D1%81%D0%B5%D1%82%D0%B8%D1%8F,Q114351351-C3D3FD46-09C9-4127-98A3-D7FD4ED1B1CE
Q114351361,Павлов Марат Григорьевич,Q113502553,Министр обороны,2022-08-23,,,Q114351361-673B11B0-F44B-412C-8ED8-C27FFCF5A8D8
Q114351367,Тибилова Фатима Анзоровна,Q114351278,Министр финансов,2021-09,,https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B0%D0%B2%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE_%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B8_%D0%AE%D0%B6%D0%BD%D0%B0%D1%8F_%D0%9E%D1%81%D0%B5%D1%82%D0%B8%D1%8F,Q114351367-48DA179A-41FB-4999-9068-55A641CE6148
Q114351376,Чочиев Азамат Алимбегович,Q114351280,"Министр по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий",2019-08-22,,https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B0%D0%B2%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE_%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B8_%D0%AE%D0%B6%D0%BD%D0%B0%D1%8F_%D0%9E%D1%81%D0%B5%D1%82%D0%B8%D1%8F,Q114351376-6CF3BBF4-8F84-4337-8D66-37552E320FD6
Q114351389,Чочиева Алла Руслановна,Q114351282,Министр здравоохранения и социального развития,2022-08,,https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B0%D0%B2%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE_%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B8_%D0%AE%D0%B6%D0%BD%D0%B0%D1%8F_%D0%9E%D1%81%D0%B5%D1%82%D0%B8%D1%8F,Q114351389-AE959599-7982-4D27-9136-1342554951F5
Q29319183,Алан Эдуардович Гаглоев,Q2327278,Президент Южной Осетии,2022-05-24,,,Q29319183-2E83F64B-BD07-41CD-86A9-CB13AE56E7E4
